"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Comprehensive test to create a social link and then delete it.
","18083","test_social_comprehensive[chromium]","tests","2026-01-19","passed","2026-01-19","","test_social_comprehensive","",""
"
Comprehensive test to create news and then delete it.
","30179","test_news_comprehensive[chromium]","tests","2026-01-19","passed","2026-01-19","","test_news_comprehensive","",""
"
Comprehensive test to create a play and then delete it.
","29734","test_play_comprehensive[chromium]","tests","2026-01-19","passed","2026-01-19","","test_play_comprehensive","",""
"
Smoke test: Log in and verify dashboard access.
This relies on the 'auth_page' fixture in conftest.py which handles the login.
","1299","test_login_smoke[chromium]","tests","2026-01-19","passed","2026-01-19","","test_smoke","",""
"
Comprehensive test to add a video with all required fields filled.
","15247","test_add_video_comprehensive[chromium]","tests","2026-01-19","passed","2026-01-19","","test_video_comprehensive","",""
"
Comprehensive test to edit an entry and then revert it.
","9565","test_entries_comprehensive[chromium]","tests","2026-01-19","passed","2026-01-19","","test_entries_comprehensive","",""
"
Comprehensive test to create a roadmap and then delete it.
","12357","test_roadmap_comprehensive[chromium]","tests","2026-01-19","passed","2026-01-19","","test_roadmap_comprehensive","",""
